자치구,요일,대상연월,도착시간,출발 시군구 코드,도착 시군구 코드,나이,평균 이동 시간(분),이동인구(합)
은평구,화,16354057316,1210154,1563690026,899374480,3595165,2384450,2803356.06
종로구,금,25129913120,1756995,2461133904,1368322800,5426220,3887170,4166914.7
종로구,목,22555451792,1555069,2159048674,1228143480,4940745,3308020,3323165.19
종로구,수,22425030212,1539401,2144058494,1221042030,4905170,3281180,3311768.71
종로구,월,21946413344,1497385,2089462453,1194981360,4812865,3246100,3134316.38
종로구,일,20042662684,1428315,1942093664,1091322210,4204650,3018910,2371710.31
종로구,토,24201796760,1711826,2397901521,1317786900,5114025,3761640,3807131.3
종로구,화,22119702172,1517324,2108262991,1204416930,4862215,3219290,3266896.6
중구,금,25523806512,1788381,2507300253,1391032560,5450635,3882990,4417888.05
중구,목,23241529964,1617338,2234577707,1266649820,5028655,3366420,3602113.51
중구,수,22903444876,1587322,2190334109,1248224380,4958520,3285440,3543352.24
중구,월,22648263428,1565753,2170356518,1234317140,4911445,3305220,3428583.56
중구,일,20430287752,1479213,1989014061,1113438760,4279245,3029770,2099287.8
중구,토,24027901320,1699118,2383460286,1309506600,5086805,3666350,3325035.09
중구,화,22741479472,1576849,2173077595,1239397360,4939240,3270550,3548650.39
중랑구,금,18469919972,1381871,1766950915,1011167010,4017120,2825110,2964106.6
중랑구,목,16093214156,1187926,1496537510,881050230,3529420,2274250,2317234.59
중랑구,수,15934484016,1175852,1477167012,872360280,3500275,2239520,2305780.75
중랑구,월,15729651364,1157303,1467634860,861146370,3451810,2240760,2341221.75
중랑구,일,15518752592,1156177,1522993757,849600360,3326885,2279680,1918333.54
중랑구,토,19013848732,1416666,1869072769,1040945310,4090370,2847300,2752228.65
중랑구,화,15846525276,1167233,1469120074,867544830,3481780,2226170,2324310.78
